"position","title","url","linkProfileStrength","domainAuthority","pageAuthority","citationFlow","trustFlow","mozRank","mozRankExternalEquity","mozRankRoot","mozRankRootCombined","mozRankRootExternalEquity","mozRankSubdomain","mozRankSubdomainCombined","mozRankSubdomainExternalEquity","mozTrust","mozTrustSubdomain","mozTrustRoot","authorityLinks","links","externalLinks","externalLinksToRoot","externalLinksToSubdomain","subdomainExternalLinks","linksToSubdomain","linksToRoot","subdomainLinking","subdomainLinkingToSubdomain","rootDomainRootDomainsLinking","rootDomainsLinkingToSubdomain","rootDomainsLinking","linkingCBlocks","spamScoreSubdomain","facebookShares","alexaRank","acRank","externalBackLinks","externalBackLinksEdu","externalBackLinksEduExact","externalBackLinksGov","externalBackLinksGovExact","indexedURLs","outDomainsExternal","outLinksExternal","outLinksInternal","refDomains","refDomainsEdu","refDomainsEduExact","refDomainsGov","refDomainsGovExact","refIPs","refSubNets"
1,"Pêche — Wikipédia","https://fr.wikipedia.org/wiki/Pêche",44,95,56,9,5,5.599999905,3.75666666,9.5,9.496256828,7.319854259,9.496256828,9.5,7.316950321,5.599999905,9.496256828,9.5,161,407,328,770565515,770553276,732804649,988814544,988826797,47,509907,510108,509907,47,510108,1,4,13,1,5,0,0,0,0,1,NaN,NaN,NaN,4,0,0,0,0,4,4
2,"Pêche (halieutique) — Wikipédia","https://fr.wikipedia.org/wiki/Pêche_(halieutique)",33,95,44,0,0,4.400000095,4.364597797,9.5,9.496333122,7.320445538,9.496333122,9.5,7.317599297,4.400000095,9.496333122,9.5,863,887,880,774210390,774198106,736060497,993351949,993364247,196,518022,518222,518022,196,518222,1,50,13,0,11,0,0,0,0,1,NaN,NaN,NaN,11,0,0,0,0,11,11
3,"Accueil - Cartedepeche.fr - Fédération Nationale de la Pêche ...","https://www.cartedepeche.fr/",78,53,53,52,53,5.300000191,5.023866177,5.300000191,5.143052578,1.096106648,5.143052578,5.300000191,1.818545103,5.300000191,5.143052578,5.300000191,60621,65355,62023,78682,75263,73508,209644,367591,2770,2982,3073,2982,2770,3073,1,8922,332034,8,91626,0,0,0,0,1,8,18,32,439,0,0,0,0,282,219
4,"Pacificpeche.com – Vente d'articles et de matériel de pêche","https://www.pacificpeche.com/",59,42,50,46,27,5,0.7512590289,4.199999809,4.198460102,0.003045592923,4.198460102,4.199999809,0.003038991941,5,4.198460102,4.199999809,23689,158525,24552,73842,73382,69598,96268745,96293113,1151,2727,2728,2727,1151,2728,1,23330,683128,7,14785,0,0,0,0,1,4,4,275,123,0,0,0,0,99,86
5,"Article et matériel de pêche acheter sur pecheur.com","https://www.pecheur.com/vente-peche-1,0,0,0.html",60,58,39,43,32,3.900000095,0.03042249009,5.800000191,2.163452864,0.01610663719,2.163452864,5.800000191,0.005470474716,3.900000095,2.163452864,5.800000191,560,71793,564,367908,321348,270088,106973918,108212434,18,2623,7032,2623,18,7032,0,N/A,189472,6,2,0,0,0,0,1,10,10,203,2,0,0,0,0,2,2
6,"Accueil - Fédération Nationale de la Pêche en France","https://www.federationpeche.fr/",78,56,50,50,57,5,4.979556561,5.599999905,5.504614353,5.243130684,5.504614353,5.599999905,5.34013176,5,5.504614353,5.599999905,62599,64701,64444,159714,144308,132235,148381,169721,1778,3174,3229,3174,1778,3229,5,126,10729134,8,75614,0,0,0,0,1,4,5,41,182,0,0,0,0,119,90
7,"pèche — Wiktionnaire","https://fr.wiktionary.org/wiki/pèche",34,92,47,0,0,4.699999809,2.349999905,9.199999809,0.9335821867,2.880006313,0.9335821867,9.199999809,0.4904790223,4.699999809,0.9335821867,9.199999809,17,34,17,196919839,33119826,29987899,60211169,514050674,5,24140,237888,24140,5,237888,1,N/A,639,0,1,0,0,0,0,1,NaN,NaN,NaN,1,0,0,0,0,1,1
